criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
gini,None,10,5,sqrt,0.7555555555555555,0.7868831168831169,0.711111111111111,0.7338832375055285,0.2272866988889291
gini,None,2,10,sqrt,0.8,0.7833333333333334,0.8444444444444444,0.8093468966533981,0.22728674333338858
gini,None,5,10,sqrt,0.7333333333333334,0.7072077922077922,0.7555555555555555,0.7101345040744691,0.22728679000008722
gini,None,10,10,sqrt,0.8333333333333334,0.8181418581418581,0.888888888888889,0.8438755980861246,0.22728683222230756
gini,None,2,1,log2,0.7333333333333333,0.8190476190476191,0.6222222222222222,0.7033333333333334,0.22728687333340833
gini,None,5,1,log2,0.7444444444444444,0.7936507936507936,0.6444444444444445,0.7071241830065359,0.22728691666674827
gini,None,10,1,log2,0.7222222222222222,0.7600610500610501,0.6888888888888889,0.7064722858840506,0.22728696111120775
gini,None,2,2,log2,0.6555555555555556,0.6735256410256409,0.7777777777777779,0.6928266119845068,0.22728700222230852
gini,None,5,2,log2,0.5555555555555556,0.5704761904761904,0.6444444444444444,0.5962024626784352,0.2272870400000506
gini,None,10,2,log2,0.7,0.7516666666666666,0.5777777777777778,0.6452661064425771,0.22728707888891223
